N,Triton,Torch,Naive Softmax,Naive Compiled Softmax
256.000000,124.506964,208.198268,109.169048,209.717008
384.000000,164.174509,209.700610,116.952629,442.423888
512.000000,176.119436,211.635917,117.490139,452.312550
640.000000,176.217796,222.148313,119.041624,308.549902
768.000000,187.054770,217.264342,120.075120,244.643645
896.000000,190.021442,219.185776,116.549239,233.767983
1024.000000,188.942340,214.025783,112.489648,232.215806
1152.000000,193.712159,219.808868,107.889699,231.307902
1280.000000,193.671367,220.474347,104.908436,231.819221
1408.000000,200.036573,220.497786,102.691301,230.642986
1536.000000,200.564767,217.651499,98.950221,232.031047
1664.000000,205.120189,219.222499,95.135721,233.717241
1792.000000,204.689290,219.647113,90.881785,233.459697
1920.000000,201.614133,218.999411,86.976528,230.894659
2048.000000,208.044276,222.611432,85.866633,233.676240
2176.000000,214.538881,230.426157,77.518299,232.669273
2304.000000,216.241671,229.197993,75.239606,234.632778
2432.000000,217.416842,229.072648,71.963114,232.130097
2560.000000,218.203374,229.316813,68.607511,234.335243
2688.000000,217.250083,229.173290,67.453806,233.156863
2816.000000,218.990713,230.055710,65.860153,235.638082
2944.000000,219.295087,227.666885,65.273133,232.874584
3072.000000,219.265052,229.568609,64.036582,233.680511
3200.000000,219.512892,231.641697,63.884331,233.506983
3328.000000,220.406076,226.842496,63.219928,235.497621
3456.000000,219.721584,230.461863,63.075296,232.881905
3584.000000,220.110097,232.220250,62.679853,233.633749
3712.000000,219.750804,229.413734,62.483950,232.817969
3840.000000,221.432912,231.567744,62.193182,234.464755
3968.000000,219.744322,233.878582,62.051870,231.712931
4096.000000,220.492967,231.223045,62.049647,234.150293
4224.000000,221.359896,232.295270,61.749391,230.232194
4352.000000,221.124350,234.274587,61.313774,231.989059
4480.000000,221.677226,232.514754,61.158610,227.355617
4608.000000,221.867701,235.240028,60.551967,229.927706
4736.000000,222.923930,234.155787,60.619314,226.236313
4864.000000,222.042648,232.385947,60.457999,228.770907
4992.000000,220.555707,234.954694,60.346911,224.756041
5120.000000,222.539735,234.104815,60.379959,225.498655
5248.000000,223.955658,234.903209,60.298149,222.769430
5376.000000,224.496434,236.700871,60.218083,222.997921
5504.000000,223.518330,235.065632,60.061233,220.800969
5632.000000,223.826038,235.855296,59.983051,220.711239
5760.000000,224.403252,236.189408,59.930633,216.873279
5888.000000,224.633520,237.151273,59.855318,219.428931
6016.000000,225.108073,236.920996,59.725901,215.535171
6144.000000,225.663691,232.877394,59.474168,191.026440
6272.000000,204.925318,233.732705,59.405396,212.476527
6400.000000,226.170935,233.972778,59.452817,214.440954
6528.000000,225.987556,234.127225,59.455345,210.181620
6656.000000,227.196616,234.623353,59.234816,210.215811
6784.000000,225.720100,235.333239,59.194711,208.115375
6912.000000,226.724137,235.054413,59.212044,207.655209
7040.000000,225.913361,233.151233,59.110089,202.219181
7168.000000,226.470948,235.874894,59.177986,201.251396
7296.000000,225.862377,234.388649,59.079136,198.335009
7424.000000,225.776891,235.067497,59.027809,198.962610
7552.000000,226.236592,233.254584,59.078261,198.295805
7680.000000,227.440460,236.419995,59.004232,198.884884
7808.000000,226.392396,233.747183,59.070425,196.683433
7936.000000,226.644152,234.186618,59.020287,195.473108
8064.000000,226.221604,234.008406,59.009915,192.905162
8192.000000,226.393346,233.415426,59.684296,193.530721
8320.000000,228.066839,232.893387,59.604735,187.637589
8448.000000,228.801128,233.475560,59.632078,189.910523
8576.000000,228.981592,232.270735,59.600421,187.407804
8704.000000,228.960225,232.099797,59.685198,167.037982
8832.000000,207.570527,204.327561,52.628134,184.486795
8960.000000,229.077269,234.493130,59.599128,186.221297
9088.000000,228.019238,233.502642,59.514814,182.393140
9216.000000,228.352774,232.876748,59.587540,182.840979
9344.000000,228.626048,235.356500,59.552990,179.459947
9472.000000,228.485344,236.211915,59.542385,180.911671
9600.000000,228.254546,236.289299,59.570407,176.775233
9728.000000,228.598043,236.329583,59.586877,178.895100
9856.000000,228.156677,235.697098,59.528493,174.290170
9984.000000,228.560351,236.062025,59.604325,177.209838
10112.000000,227.921701,235.358085,59.536321,171.583556
10240.000000,228.785251,237.543140,59.725210,173.821048
10368.000000,228.304730,234.177821,59.576343,169.412288
10496.000000,228.646126,235.276951,59.650785,171.818011
10624.000000,228.330244,235.675893,59.551206,168.050599
10752.000000,229.239705,209.603413,52.765367,148.100193
10880.000000,208.130011,233.062479,59.560164,164.931695
11008.000000,229.056297,235.781088,59.586730,166.289511
11136.000000,228.663536,234.963307,59.545611,162.890897
11264.000000,229.825840,235.588320,59.592483,163.252460
11392.000000,228.361963,236.683389,59.515145,161.165380
11520.000000,229.411944,235.048292,59.630700,163.104218
11648.000000,228.375965,235.385550,59.616802,157.452192
11776.000000,229.238332,235.615520,59.703866,161.357570
11904.000000,228.383490,236.243451,59.575001,157.017588
12032.000000,229.331323,236.366831,59.569474,160.024298
12160.000000,228.089213,235.233064,59.515130,155.789769
12288.000000,228.995915,234.399654,59.629874,158.425967
12416.000000,206.771797,208.836018,52.757051,136.343183
12544.000000,226.234776,234.835101,59.654133,156.672924
12672.000000,228.593472,233.523879,59.508964,152.299772
